label,start_epoch,end_epoch,total,concurrency,failures,status,target_kind,workload
real_clean_rep1,1783238082.611026000,1783238083.007373000,20,5,0,ok,real-codex,codex-help
copy_clean_rep1,1783238083.053505000,1783238085.733711000,20,5,0,ok,single-copy-clean,codex-help
copy_quarantined_rep1,1783238085.776511000,1783238088.361195000,20,5,0,ok,single-copy-quarantined,codex-help
project_clean_rep1,1783238088.404842000,1783238120.478067000,20,5,0,ok,project-copies-clean,project-codex-help
project_quarantined_rep1,1783238120.536899000,1783238152.605772000,20,5,0,ok,project-copies-quarantined,project-codex-help
real_clean_rep2,1783238152.655858000,1783238152.913651000,20,5,0,ok,real-codex,codex-help
copy_clean_rep2,1783238152.963552000,1783238153.224523000,20,5,0,ok,single-copy-clean,codex-help
copy_quarantined_rep2,1783238153.273893000,1783238153.502550000,20,5,0,ok,single-copy-quarantined,codex-help
project_clean_rep2,1783238153.550115000,1783238154.020238000,20,5,0,ok,project-copies-clean,project-codex-help
project_quarantined_rep2,1783238154.068946000,1783238157.055042000,20,5,0,ok,project-copies-quarantined,project-codex-help
real_clean_rep3,1783238157.103972000,1783238157.247996000,20,5,0,ok,real-codex,codex-help
copy_clean_rep3,1783238157.294857000,1783238157.435801000,20,5,0,ok,single-copy-clean,codex-help
copy_quarantined_rep3,1783238157.482887000,1783238157.627956000,20,5,0,ok,single-copy-quarantined,codex-help
project_clean_rep3,1783238157.674485000,1783238157.825394000,20,5,0,ok,project-copies-clean,project-codex-help
project_quarantined_rep3,1783238157.871981000,1783238158.026630000,20,5,0,ok,project-copies-quarantined,project-codex-help
